feature_set_name,feature_i,feature_j,corr_sim,corr_real,correlation_difference,absolute_correlation_difference,mean_absolute_correlation_difference,max_absolute_correlation_difference
set_a_easy_non_lab,bmi,sbp,0.23233232019706715,0.14879733980326362,0.08353498039380353,0.08353498039380353,0.041173430573009644,0.08353498039380353
set_a_easy_non_lab,bmi,smoke,-0.06663611677393316,-0.14039496778006372,0.07375885100613055,0.07375885100613055,0.041173430573009644,0.08353498039380353
set_a_easy_non_lab,bmi,drink,-0.003035568117383745,-0.053862480137380216,0.05082691201999647,0.05082691201999647,0.041173430573009644,0.08353498039380353
set_a_easy_non_lab,smoke,drink,0.46337772001093974,0.4351568214987661,0.02822089851217363,0.02822089851217363,0.041173430573009644,0.08353498039380353
set_a_easy_non_lab,sbp,smoke,0.03228399844183549,0.0426945207885477,-0.010410522346712206,0.010410522346712206,0.041173430573009644,0.08353498039380353
set_a_easy_non_lab,sbp,drink,0.017810228208641806,0.018098647367883275,-0.0002884191592414688,0.0002884191592414688,0.041173430573009644,0.08353498039380353
set_b_non_lab_diagnosis,smoke,koa,0.03646403491709325,-0.06682257531903171,0.10328661023612495,0.10328661023612495,0.03791889648254514,0.10328661023612495
set_b_non_lab_diagnosis,sbp,cvd,0.15006468702370965,0.06951730293075443,0.08054738409295521,0.08054738409295521,0.03791889648254514,0.10328661023612495
set_b_non_lab_diagnosis,cvd,koa,0.008781556450180642,0.08551720892256712,-0.07673565247238648,0.07673565247238648,0.03791889648254514,0.10328661023612495
set_b_non_lab_diagnosis,drink,koa,0.017399785963770086,-0.051537539358272,0.06893732532204208,0.06893732532204208,0.03791889648254514,0.10328661023612495
set_b_non_lab_diagnosis,bmi,smoke,-0.07707812281629785,-0.14039496778006372,0.06331684496376587,0.06331684496376587,0.03791889648254514,0.10328661023612495
set_b_non_lab_diagnosis,hypertension,diabetes,0.23292259327333115,0.1704276295488607,0.06249496372447044,0.06249496372447044,0.03791889648254514,0.10328661023612495
set_b_non_lab_diagnosis,hypertension,cvd,0.2706841088477825,0.21384959207880766,0.05683451676897483,0.05683451676897483,0.03791889648254514,0.10328661023612495
set_b_non_lab_diagnosis,bmi,sbp,0.20514281558157518,0.14879733980326362,0.05634547577831156,0.05634547577831156,0.03791889648254514,0.10328661023612495
set_b_non_lab_diagnosis,sbp,diabetes,0.13084853530829824,0.07509947409953764,0.055749061208760595,0.055749061208760595,0.03791889648254514,0.10328661023612495
set_b_non_lab_diagnosis,diabetes,cvd,0.15397067053576866,0.09903877075005163,0.054931899785717025,0.054931899785717025,0.03791889648254514,0.10328661023612495
set_b_non_lab_diagnosis,smoke,cvd,-0.04754135381349991,0.00366047503098186,-0.05120182884448177,0.05120182884448177,0.03791889648254514,0.10328661023612495
set_b_non_lab_diagnosis,smoke,arthritis,0.01467800480276334,-0.034970132479858834,0.04964813728262217,0.04964813728262217,0.03791889648254514,0.10328661023612495
set_b_non_lab_diagnosis,drink,hypertension,0.03758997212018854,-0.008000320722756669,0.045590292842945204,0.045590292842945204,0.03791889648254514,0.10328661023612495
set_b_non_lab_diagnosis,bmi,arthritis,0.00018125193096427716,0.04406957025756056,-0.04388831832659628,0.04388831832659628,0.03791889648254514,0.10328661023612495
set_b_non_lab_diagnosis,drink,arthritis,0.015097046650235191,-0.028235791698525494,0.043332838348760686,0.043332838348760686,0.03791889648254514,0.10328661023612495
set_b_non_lab_diagnosis,sbp,arthritis,0.06648790109103797,0.02316961172503457,0.043318289366003404,0.043318289366003404,0.03791889648254514,0.10328661023612495
set_b_non_lab_diagnosis,sbp,smoke,0.005000757410789584,0.0426945207885477,-0.037693763377758115,0.037693763377758115,0.03791889648254514,0.10328661023612495
set_b_non_lab_diagnosis,bmi,drink,-0.016902936188930566,-0.053862480137380216,0.03695954394844965,0.03695954394844965,0.03791889648254514,0.10328661023612495
set_b_non_lab_diagnosis,smoke,drink,0.4693097029773211,0.4351568214987661,0.034152881478555,0.034152881478555,0.03791889648254514,0.10328661023612495
set_b_non_lab_diagnosis,bmi,cvd,0.05820184430484948,0.0920556667956774,-0.03385382249082791,0.03385382249082791,0.03791889648254514,0.10328661023612495
