feature_set_name,comparison_type,classifier,roc_auc,accuracy,balanced_accuracy,tn,fp,fn,tp,n_test
set_a_easy_non_lab,unconditional,logistic_regression,0.49362716049382716,0.4988888888888889,0.49888888888888894,428,472,430,470,1800
set_a_easy_non_lab,unconditional,random_forest,0.5670654320987655,0.5494444444444444,0.5494444444444444,488,412,399,501,1800
set_a_easy_non_lab,age_matched,logistic_regression,0.5108617283950617,0.51,0.51,385,515,367,533,1800
set_a_easy_non_lab,age_matched,random_forest,0.5621308641975309,0.5461111111111111,0.5461111111111111,490,410,407,493,1800
set_b_non_lab_diagnosis,unconditional,logistic_regression,0.5155283950617284,0.5027777777777778,0.5027777777777778,439,461,434,466,1800
set_b_non_lab_diagnosis,unconditional,random_forest,0.561495061728395,0.55,0.55,449,451,359,541,1800
set_b_non_lab_diagnosis,age_matched,logistic_regression,0.5296061728395063,0.5261111111111111,0.5261111111111111,425,475,378,522,1800
set_b_non_lab_diagnosis,age_matched,random_forest,0.5648444444444445,0.5405555555555556,0.5405555555555556,473,427,400,500,1800
set_c_extended_non_lab_diagnosis,unconditional,logistic_regression,0.5318246913580247,0.5255555555555556,0.5255555555555556,343,557,297,603,1800
set_c_extended_non_lab_diagnosis,unconditional,random_forest,0.5890197530864197,0.5694444444444444,0.5694444444444444,490,410,365,535,1800
set_c_extended_non_lab_diagnosis,age_matched,logistic_regression,0.527704938271605,0.5133333333333333,0.5133333333333333,385,515,361,539,1800
set_c_extended_non_lab_diagnosis,age_matched,random_forest,0.582020987654321,0.5511111111111111,0.5511111111111111,487,413,395,505,1800
set_d_lab_enriched,unconditional,logistic_regression,0.5263925925925926,0.5183333333333333,0.5183333333333333,398,502,365,535,1800
set_d_lab_enriched,unconditional,random_forest,0.7971913580246912,0.7161111111111111,0.7161111111111111,647,253,258,642,1800
set_d_lab_enriched,age_matched,logistic_regression,0.5409777777777778,0.5388888888888889,0.5388888888888889,450,450,380,520,1800
set_d_lab_enriched,age_matched,random_forest,0.846646913580247,0.7616666666666667,0.7616666666666667,682,218,211,689,1800
