feature_set_name,feature_i,feature_j,corr_sim,corr_real,correlation_difference,absolute_correlation_difference,mean_absolute_correlation_difference,max_absolute_correlation_difference
set_a_easy_non_lab,bmi,smoke,-0.06352831297950362,-0.14039496778006372,0.0768666548005601,0.0768666548005601,0.028035920892061642,0.0768666548005601
set_a_easy_non_lab,bmi,drink,-0.00389693006490104,-0.053862480137380216,0.04996555007247917,0.04996555007247917,0.028035920892061642,0.0768666548005601
set_a_easy_non_lab,smoke,drink,0.46337772001093974,0.4351568214987661,0.02822089851217363,0.02822089851217363,0.028035920892061642,0.0768666548005601
set_a_easy_non_lab,bmi,sbp,0.13950702159587622,0.14879733980326362,-0.009290318207387405,0.009290318207387405,0.028035920892061642,0.0768666548005601
set_a_easy_non_lab,sbp,drink,0.020680025671487075,0.018098647367883275,0.0025813783036038006,0.0025813783036038006,0.028035920892061642,0.0768666548005601
set_a_easy_non_lab,sbp,smoke,0.04398524624471345,0.0426945207885477,0.0012907254561657505,0.0012907254561657505,0.028035920892061642,0.0768666548005601
set_b_non_lab_diagnosis,smoke,koa,0.038196854041475825,-0.06682257531903171,0.10501942936050754,0.10501942936050754,0.03744936990287415,0.10501942936050754
set_b_non_lab_diagnosis,cvd,koa,0.001306045579568516,0.08551720892256712,-0.08421116334299861,0.08421116334299861,0.03744936990287415,0.10501942936050754
set_b_non_lab_diagnosis,sbp,cvd,0.14397918352407651,0.06951730293075443,0.07446188059332208,0.07446188059332208,0.03744936990287415,0.10501942936050754
set_b_non_lab_diagnosis,drink,koa,0.019156611041179734,-0.051537539358272,0.07069415039945173,0.07069415039945173,0.03744936990287415,0.10501942936050754
set_b_non_lab_diagnosis,hypertension,diabetes,0.23641959533362283,0.1704276295488607,0.06599196578476213,0.06599196578476213,0.03744936990287415,0.10501942936050754
set_b_non_lab_diagnosis,bmi,smoke,-0.07644030503662334,-0.14039496778006372,0.06395466274344037,0.06395466274344037,0.03744936990287415,0.10501942936050754
set_b_non_lab_diagnosis,hypertension,cvd,0.27091941459122154,0.21384959207880766,0.05706982251241388,0.05706982251241388,0.03744936990287415,0.10501942936050754
set_b_non_lab_diagnosis,smoke,arthritis,0.01578641825164713,-0.034970132479858834,0.050756550731505964,0.050756550731505964,0.03744936990287415,0.10501942936050754
set_b_non_lab_diagnosis,diabetes,cvd,0.14862002642088037,0.09903877075005163,0.049581255670828744,0.049581255670828744,0.03744936990287415,0.10501942936050754
set_b_non_lab_diagnosis,smoke,cvd,-0.04404314929195036,0.00366047503098186,-0.04770362432293222,0.04770362432293222,0.03744936990287415,0.10501942936050754
set_b_non_lab_diagnosis,sbp,diabetes,0.120578071186314,0.07509947409953764,0.04547859708677636,0.04547859708677636,0.03744936990287415,0.10501942936050754
set_b_non_lab_diagnosis,drink,arthritis,0.016251867483784706,-0.028235791698525494,0.0444876591823102,0.0444876591823102,0.03744936990287415,0.10501942936050754
set_b_non_lab_diagnosis,bmi,arthritis,8.271698779370072e-05,0.04406957025756056,-0.04398685326976686,0.04398685326976686,0.03744936990287415,0.10501942936050754
set_b_non_lab_diagnosis,sbp,arthritis,0.06649111440252707,0.02316961172503457,0.043321502677492504,0.043321502677492504,0.03744936990287415,0.10501942936050754
set_b_non_lab_diagnosis,bmi,sbp,0.10631351644915382,0.14879733980326362,-0.0424838233541098,0.0424838233541098,0.03744936990287415,0.10501942936050754
set_b_non_lab_diagnosis,drink,hypertension,0.03315372281485741,-0.008000320722756669,0.04115404353761408,0.04115404353761408,0.03744936990287415,0.10501942936050754
set_b_non_lab_diagnosis,bmi,drink,-0.016827531925246605,-0.053862480137380216,0.037034948212133614,0.037034948212133614,0.03744936990287415,0.10501942936050754
set_b_non_lab_diagnosis,smoke,drink,0.4693097029773211,0.4351568214987661,0.034152881478555,0.034152881478555,0.03744936990287415,0.10501942936050754
set_b_non_lab_diagnosis,bmi,cvd,0.06016659853011623,0.0920556667956774,-0.03188906826556116,0.03188906826556116,0.03744936990287415,0.10501942936050754
set_b_non_lab_diagnosis,sbp,koa,0.056943832400326314,0.026233769786878094,0.03071006261344822,0.03071006261344822,0.03744936990287415,0.10501942936050754
set_b_non_lab_diagnosis,smoke,hypertension,0.017482450164782948,-0.009930185231764978,0.027412635396547924,0.027412635396547924,0.03744936990287415,0.10501942936050754
set_b_non_lab_diagnosis,bmi,koa,0.004668898163327431,0.030585642515350137,-0.025916744352022708,0.025916744352022708,0.03744936990287415,0.10501942936050754
set_b_non_lab_diagnosis,sbp,smoke,0.017682890609721433,0.0426945207885477,-0.025011630178826266,0.025011630178826266,0.03744936990287415,0.10501942936050754
set_b_non_lab_diagnosis,cvd,arthritis,0.04155330530198751,0.0660938187117725,-0.02454051340978499,0.02454051340978499,0.03744936990287415,0.10501942936050754
set_b_non_lab_diagnosis,bmi,hypertension,0.22527335469481546,0.24716973072905352,-0.021896376034238052,0.021896376034238052,0.03744936990287415,0.10501942936050754
set_b_non_lab_diagnosis,hypertension,koa,0.06505824125735886,0.04360198169380567,0.02145625956355319,0.02145625956355319,0.03744936990287415,0.10501942936050754
set_b_non_lab_diagnosis,drink,diabetes,-0.016887450246976746,0.0027739951366586605,-0.019661445383635408,0.019661445383635408,0.03744936990287415,0.10501942936050754
set_b_non_lab_diagnosis,smoke,diabetes,0.004414081796187338,-0.014202867177208992,0.01861694897339633,0.01861694897339633,0.03744936990287415,0.10501942936050754
set_b_non_lab_diagnosis,diabetes,arthritis,0.048757870021249455,0.030587095264618933,0.018170774756630523,0.018170774756630523,0.03744936990287415,0.10501942936050754
set_b_non_lab_diagnosis,bmi,diabetes,0.13626030249757692,0.1521631229927934,-0.015902820495216463,0.015902820495216463,0.03744936990287415,0.10501942936050754
set_b_non_lab_diagnosis,diabetes,koa,0.04821752616000576,0.03409100817675839,0.01412651798324737,0.01412651798324737,0.03744936990287415,0.10501942936050754
set_b_non_lab_diagnosis,sbp,hypertension,0.3971375091696804,0.38306807139583343,0.014069437773846949,0.014069437773846949,0.03744936990287415,0.10501942936050754
set_b_non_lab_diagnosis,hypertension,arthritis,0.06552606940838582,0.052916253812381825,0.012609815596003993,0.012609815596003993,0.03744936990287415,0.10501942936050754
set_b_non_lab_diagnosis,drink,cvd,-0.030299892399422414,-0.04156935615624666,0.01126946375682425,0.01126946375682425,0.03744936990287415,0.10501942936050754
set_b_non_lab_diagnosis,arthritis,koa,0.47028894140844607,0.46304550791330495,0.007243433495141116,0.007243433495141116,0.03744936990287415,0.10501942936050754
set_b_non_lab_diagnosis,sbp,drink,0.02422720158250623,0.018098647367883275,0.006128554214622956,0.006128554214622956,0.03744936990287415,0.10501942936050754
set_c_extended_non_lab_diagnosis,dyslipidemia,diabetes,0.0050311036139618365,0.24555269469812357,-0.24052159108416174,0.24052159108416174,0.04146395204468743,0.24052159108416174
set_c_extended_non_lab_diagnosis,bmi,dyslipidemia,0.03721380869756069,0.2330405073877462,-0.1958266986901855,0.1958266986901855,0.04146395204468743,0.24052159108416174
set_c_extended_non_lab_diagnosis,hypertension,dyslipidemia,0.06137857660222125,0.2565339672539795,-0.19515539065175824,0.19515539065175824,0.04146395204468743,0.24052159108416174
set_c_extended_non_lab_diagnosis,dyslipidemia,cvd,0.02175326222236936,0.19537474986311493,-0.17362148764074556,0.17362148764074556,0.04146395204468743,0.24052159108416174
set_c_extended_non_lab_diagnosis,smoke,koa,0.02831265749527298,-0.06682257531903171,0.0951352328143047,0.0951352328143047,0.04146395204468743,0.24052159108416174
set_c_extended_non_lab_diagnosis,sbp,cvd,0.15157101822128005,0.06951730293075443,0.08205371529052562,0.08205371529052562,0.04146395204468743,0.24052159108416174
